ID Language;ID Paper;DSL Type:Standalone;DSL Type:Extension;Kind:Implementation;Kind:Specification;Kind : Unknown;Academia;Industry
S15;5;N;Y;N;Y;N;Y;N
S09;12;N;Y;N;Y;N;Y;N
S11;41;N;Y;N;Y;N;Y;N
S13;63;Y;N;Y;N;N;N;Y
S02;73;Y;N;N;Y;N;Y;N
S01;105;N;Y;Y;N;N;N;Y
S25,S36;2231;Y;N;Y;N;N;Y;N
S06;2248;N;Y;Y;N;N;Y;N
S24;2250;Y;N;N;Y;N;Y;N
S20;2304;Y;N;N;Y;N;Y;N
S07;2355;Y;N;Y;N;N;Y;N
S14;2385;Y;N;N;Y;N;Y;N
S22;9423;Y;N;Y;N;N;Y;N
S10;9436;Y;N;Y;N;N;N;Y
S12;9449;Y;N;N;Y;N;Y;N
S05;9454;N;Y;N;Y;N;Y;N
S03;9465;Y;N;N;Y;N;Y;N
G01;9473;N;Y;Y;N;N;Y;N
G02;9485;Y;N;Y;N;N;N;Y
S18;9492;Y;N;Y;N;N;N;Y
S04;9511;Y;N;Y;N;N;Y;N
S08,S23;9524;Y;N;N;Y;N;Y;N
S19;9551;Y;N;Y;N;N;Y;N
G03;9657;Y;N;Y;N;N;Y;N
S16;9692;Y;N;N;Y;N;Y;N
S26;9710;N;Y;N;Y;N;Y;N
S17,S21;9784;N;Y;Y;N;N;Y;N
G20;309615;Y;N;Y;N;N;N;Y
G07;309616;Y;N;Y;N;N;N;Y
G04;316904;N;Y;N;Y;N;Y;N
G13;355426;Y;N;Y;N;N;N;Y
G08;361026;Y;N;Y;N;N;N;Y
G09;361064;N;Y;Y;N;N;N;Y
G10;361073;Y;N;N;Y;N;N;Y
G14;361076;N;Y;Y;N;N;N;Y
G15;361077;Y;N;Y;N;N;N;Y
G16;361078;Y;N;Y;N;N;N;Y
G17;361079;N;Y;Y;N;N;N;Y
G18;361081;Y;N;Y;N;N;N;Y
S50;361084;Y;N;Y;N;N;N;Y
G11,G22;361085;N;Y;Y;N;N;N;Y
G05;372637;Y;N;Y;N;N;N;Y
S27;405754;N;Y;Y;N;N;N;Y
S40;405758;Y;N;Y;N;N;Y;N
S41;405830;N;Y;N;Y;N;Y;N
S42;405858;N;Y;N;Y;N;Y;N
S28;405937;N;Y;Y;N;N;Y;N
S43;405952;N;Y;Y;N;N;Y;N
S29;405989;Y;N;N;Y;N;Y;N
S30;406018;Y;N;N;Y;N;Y;N
S44;406019;N;Y;N;Y;N;Y;N
S45;413256;Y;N;N;Y;N;Y;N
S46;413274;N;Y;N;Y;N;N;Y
S31;413285;N;Y;N;Y;N;Y;N
S32;413298;Y;N;N;Y;N;Y;N
S33;413303;N;Y;Y;N;N;Y;N
S34;413305;N;Y;Y;N;N;Y;N
S35;413306;Y;N;Y;N;N;Y;N
S37;413328;N;Y;Y;N;N;Y;N
S38;413341;N;Y;N;Y;N;Y;N
S39;420753;Y;N;Y;N;N;N;Y
G19;420765;Y;N;Y;N;N;N;Y
G23;527200;Y;N;Y;N;N;N;Y
G24,G33;527202;N;Y;Y;N;N;N;Y
G25;527207;Y;N;Y;N;N;N;Y
G26;527216;Y;N;N;Y;N;N;Y
G30;550277;Y;N;Y;N;N;Y;N
G29;573430;Y;N;Y;N;N;Y;N
G27, S47;573431;Y;N;N;Y;N;Y;N
S48;586320;N;Y;N;Y;N;N;Y
G28;586322;Y;N;N;Y;N;Y;N
G06;679285;Y;N;Y;N;N;N;Y
G12;699954;Y;N;Y;N;N;N;Y
G21;699955;Y;N;Y;N;N;Y;N
G31;730952;Y;N;Y;N;N;Y;N
G32;730955;Y;N;Y;N;N;Y;N
S49;730956;Y;N;N;Y;N;Y;N
G34;730958;Y;N;Y;N;N;Y;N
