Blockchain platform;Language (ids studies)
Ethereum;ADICO-Solidity(S06)
Ethereum;Bamboo(G09)
Ethereum;Core Solidity(S38)
Ethereum;eDSL(S49)
Ethereum;Ethereum Contract ABI(G12)
Ethereum;Findel(S18)
Ethereum;Flint(S33, S47)
Ethereum;FSolidM(S12, S31)
Ethereum;Hawk(S08)
Ethereum;Idris(S04)
Ethereum;K(S43)
Ethereum;Language-G03(G03)
Ethereum;Language-S17(S17)
Ethereum;Language-S29(S29)
Ethereum;Language-S61(S61)
Ethereum;OYENTE(S09)
Ethereum;ShadowEth(S22)
Ethereum;Smart contract-based PKI and identity system (SCPKI)(S14)
Ethereum;Smart contracts using Blockly(S42)
Ethereum;SmartInspect(S30)
Ethereum;Solidity(G20)
Ethereum;Solidity*(S10)
Ethereum;Velocity(S21)
Ethereum;Visual and User-Defined Smart Contract(S57)
Ethereum;Vyper(G18)
Ethereum;Zether smart contract (ZSC)(G29)
Ethereum;ZoKrates(S46)
Bitcoin;BitHALO(S35)
Bitcoin;BitML(S24, S28)
Bitcoin;Ivy(G08)
Bitcoin;Simplicity(S15)
Bitcoin;Smart-Property Ownership Exchange Protocol (SOEP)(S05)
Bitcoin;Script(G05)
Hyperledger Fabric;Business Collaboration Rules Language(S40)
Hyperledger Fabric;DSL(S45)
Hyperledger Fabric;DSL4SC(S55)
Hyperledger Fabric;Language-S54(S54)
Hyperledger Fabric;Obsidian(S11)
Tezos;Liquidity(G14)
Hyperledger Fabric;Michelson(G15)
Hyperledger Fabric;Tezos(G21)
Cardano;IELE(G24)
Cardano;Marlowe(S39)
Cardano;Plutus(G16)
Qtum;Qtum Smart-Contract Language (QSCL)(G01)
Blo;Babbage(G10)
Tenderfone;Tenderfone-SC(S52)
Corda;Corda Contract(G06)
Zen;ZF*(G11, G22)
Ekiden;Ekiden(S26)
Rchain;Rholang(G17)
Aeternity;Asophia(G23)
Chainspace;Chainspace(S16)
Chain;Chain Core(S19)
Unibright;Unibright Contract Interface(G19)
Zilliqa;Smart contract intermediate-level language (Scilla)(S25)
Codius;Codius(G13)
NEO;NEO smart contracts(S59, G25)
Kadena;Pact(G02)
Agnostic;DAML(G07)
Agnostic;eSourcing Markup Language (eSML)(S02)
Agnostic;Logic-SC(S36)
Agnostic;OpenLaw(G28)
Undetermined;Activity Contexts(S37)
Undetermined;ACTUS(S60, G27)
Undetermined;Beagle(S56)
Undetermined;Behavior Interaction Priorities (BIP)(S27)
Undetermined;Business Collaboration Language (BCL)(S03)
Undetermined;Cicero(G26)
Undetermined;CommitRuleML(S58)
Undetermined;Dr. SES(S01)
Undetermined;dSLAC(S20)
Undetermined;Ergo(G30)
Undetermined;koa(S51)
Undetermined;Language-G04(G04)
Undetermined;Language-S07(S07)
Undetermined;Language-S23(S23)
Undetermined;Language-S48(S48)
Undetermined;Plurality(S50)
Undetermined;Proof-Carrying Smart Contracts (PCSC)(S53)
Undetermined;Reaction RuleML(S34)
Undetermined;SmaCoNat(S41)
Undetermined;SMPC(S44)
Undetermined;Specification language for smart contracts (SPECS)(S32)
Undetermined;Terms, RIghts and Conditions Semantic Descriptors (TRiC)(S13)
