Paper ID;Zone
G02;United States of America
G03;United States of America
G04;United States of America
G09;United States of America
G13;United States of America
G17;United States of America
G21;United States of America
G24;United States of America
G26;United States of America
G28;United States of America
G29;United States of America
G30;United States of America
S01;United States of America
S03;United States of America
S08;United States of America
S10;United States of America
S11;United States of America
S12;United States of America
S15;United States of America
S19;United States of America
S26;United States of America
S31;United States of America
S40;United States of America
S43;United States of America
S45;United States of America
S53;United States of America
S13;United Kingdom
S14;United Kingdom
S16;United Kingdom
S25;United Kingdom
S33;United Kingdom
S39;United Kingdom
S47;United Kingdom
G06;Switzerland
G07;Switzerland
G27;Switzerland
S42;Switzerland
S60;Switzerland
S04;Sweden
S05;Sweden
S49;Sweden
S48;South Korea
S51;South Korea
G01;Singapore
S09;Singapore
G18;Russian Federation
S59;Portugal
S38;Poland
S06;New Zealand
S34;Netherlands
S58;Netherlands
S61;Netherlands
S18;Luxembourg
G23;Liechtenstein
S55;Japan
S07;Italy
S20;Italy
S24;Italy
S28;Italy
S35;Italy
S52;Italy
G11;Israel
G22;Israel
S54;Israel
G16;Hong Kong
G19;Germany
S37;Germany
S41;Germany
S46;Germany
G14;France
G15;France
S27;France
S30;France
S50;France
S02;Estonia
S17;Denmark
G25;China
S22;China
S23;China
S32;China
S36;China
S44;China
S56;China
S57;China
S21;Canada
S29;Austria
G05;-
G08;-
G10;-
G12;-
G20;-
