ID Paper;Title;ID Search Session;Authors;Abstract;Status/Selection;Status/Extraction;Reading Priority;Score;Year;Journal;Keywords;Type;comment;URL;Volume;Pages;DOI;ISSN/ISBN;Importation Date;Columna1;(E) The paper is not written in English;(E) The paper is not related to a Smart Contract language;(E) The paper is a tutorial  or poster summary only.;(E) The paper occurs multiple times in the result set;(E) The paper’s full text is not available for download;(I) Title, keyword list, and abstract make explicit that the paper is related to Smart Contract language.;(E) The paper is published before 1991;(E) It is a patent;(E)The paper is not accesible electronically;Columna2;Name;Paradigm : Imperative;Paradigm : Declarative;Paradigm : Symbolic;Paradigm : Undetermined};Supported by blockchain platform : Yes;Supported by blockchain platform : No};Blockchain name;DSL Type : Standalone;DSL Type : Extension};Focus;Institution name;Insitution origin : Academia;Insitution origin : Industry};Challenges;Use cases;Kind : Implementation;Kind : Specification;Kind : Unknown};
5;ShadowEth: Private Smart Contract on Public Blockchain;0;Yuan, Ruiand Xia, Yu-Binand Chen, Hai-Boand Zang, Bin-Yuand Xie, Jan;Blockchain is becoming popular as a distributed and reliable ledger which allows distrustful parties to transact safely without trusting third parties. Emerging blockchain systems like Ethereum support smart contracts where miners can run arbitrary user-defined programs. However, one of the biggest concerns about the blockchain and the smart contract is privacy, since all the transactions on the chain are exposed to the public. In this paper, we present ShadowEth, a system that leverages hardware enclave to ensure the confidentiality of smart contracts while keeping the integrity and availability based on existing public blockchains like Ethereum. ShadowEth establishes a confidential and secure platform protected by trusted execution environment (TEE) off the public blockchain for the execution and storage of private contracts. It only puts the process of verification on the blockchain. We provide a design of our system including a protocol of the cryptographic communication and verification and show the applicability and feasibility of ShadowEth by various case studies. We implement a prototype using the Intel SGX on the Ethereum network and analyze the security and availability of the system.;ACCEPTED;ACCEPTED;LOW;14;2018;Journal of Computer Science and Technology;;Journal Paper;"- The paper is based on the description of a new bkockchain protocol
- Smart contract language based on ethereum-based smart contract language";https://doi.org/10.1007/s11390-018-1839-y;33;542--556;10.1007/s11390-018-1839-y;1860-4749;07/17/2018;;N;N;N;N;N;Y;N;N;N;;Bounty Contract;Y;N;N;N;Y;N;Ethereum;N;Y;Privacy;Shanghai Jiao Tong University / Cryptape Inc., Hangzhou;Y;N;null;"1 Protecting Simple Vote: We first implement a simple vote example to show the confidentiality of private contracts. The scenario is
that some people want to start a vote between themselves by a smart contract on the Ethereum, but they do not want to expose the content of this vote to the public.

2 Protecting Transaction Details: We consider the following scenario: a seller and a buyer have a contract with a certain price and quantity of some commodity. The key secret of the scenario is the detail of the purchase including the price, the quantity and maybe some promotion strategy in some complicated cases, while the result (i.e., the total ether transferred) which will eventually be reflected on the
Ethereum is not protected.

3 Second-Price Auction: In a second-price auction, the bidder who offers the highest price wins but pays the second highest price. The essential element of second-price auctions is that bidders offer bids without knowing the bid of other bidders.";Y;N;N; 
12;TRiC: Terms, RIghts and Conditions Semantic Descriptors for Smart Contracts;0;Ibañez, Luis-Daniel and Simperl, Elena;Smart Contracts have emerged as a novel way to automate the execution of contracts in a decentralised and secure environment, minimising the risk of breach or non-compliance. However, recent research points out that the same measures that secure Smart Contracts against disruption with the purpose of breach makes altering the terms, rights and conditions of contracts difficult. The same research proposes a set of standards inspired in paper-contract law that Smart Contract platforms should implement to enable Smart Contract Undo and Alteration. This paper is about preliminary work on describing terms, rights, and conditions of Smart Contracts as RDF documents linked to them, levering Semantic Web tools enabling: (i) Definition and checking of complex rights and conditions (ii) Separation of the terms of the contract from its execution logic. (iii) Querying and Updating via SPARQL (iv) Alteration of terms that were not initially considered as modifiable.;ACCEPTED;ACCEPTED;LOW;20;2017;The Semantic Web: ESWC 2017 Satellite Events;Smart Contracts, Semantic Web, Smart Contract update;Conference Paper;It not proposes a smart contract language itself, but an addition of semantics to Smart Contract. Maybe it could be considered as a way of enriching the language.;;;317--326;https://doi.org/10.1007/978-3-319-70407-4_40;978-3-319-70407-4;07/17/2018;;N;N;N;N;N;Y;N;N;N;;TRiC Descriptors;N;Y;N;N;Y;N;null;N;Y;Smart Contract Alteration;University of Southampton;Y;N;"(1) How to integrate a Graph Store into a Smart Contract Platform? Is it relevant for the TRiC descriptor context to execute SPARQL queries in a Smart Contract Platform as if they were code? If so, how to do it?
(2) How to efficiently store TRiC descriptors? Note that our approach implies replacing re-factorisation and re-deployment with data up dates, therefore, optimisation of said up dates in a Distributed Ledger Environments environment is crucial
(3) How to check the validity of alterations made via TRiC descriptors from an execution and legal point of view? The question becomes more challenging in the presence of dep endencies to other contracts.
(4)In our current definition, one TRiC descriptor is associated with one Smart Contract, is it possible to improve the approach to enable the re-use of descriptors (or parts of them) across several contracts?
";Crowdraise (it is more a running example than a use case);N;Y;N; 
26;Tool Demonstration: FSolidM for Designing Secure Ethereum Smart Contracts;0;Mavridou, Anastasiaand Laszka, Aron;Blockchain-based distributed computing platforms enable the trusted execution of computation---defined in the form of smart contracts---without trusted agents. Smart contracts are envisioned to have a variety of applications, ranging from financial to IoT asset tracking. Unfortunately, the development of smart contracts has proven to be extremely error prone. In practice, contracts are riddled with security vulnerabilities comprising a critical issue since bugs are by design non-fixable and contracts may handle financial assets of significant value. To facilitate the development of secure smart contracts, we have created the FSolidM framework, which allows developers to define contracts as finite state machines (FSMs) with rigorous and clear semantics. FSolidM provides an easy-to-use graphical editor for specifying FSMs, a code generator for creating Ethereum smart contracts, and a set of plugins that developers may add to their FSMs to enhance security and functionality.;ACCEPTED;ACCEPTED;VERY_HIGH;20;2018;"International Conference on Principles of Security and Trust
POST 2018: Principles of Security and Trust";Smart contract, Security Finite state machine, Ethereum Solidity,Automatic code generation, Design patterns;Conference paper;"It defines the FSolidM framework, which allows developers to define contracts as finite state machines (FSMs). The FSMs could be thought as a graphical DSL.

Mavridou, A.: Smartcontracts - the FSolidM framework. https://github.com/anmavrid/smart-contracts. Accessed 26 Mar 2018
";https://link.springer.com/chapter/10.1007%2F978-3-319-89722-6_11;;270--277;ttps://doi.org/10.1007/978-3-319-89722-6_11;978-3-319-89722-6;07/17/2018;;N;N;N;N;N;Y;N;N;N;;FSolidM;Y;N;N;N;Y;N;Ethereum;Y;N;Security;"Vanderbilt University, Nashville, USA
University of Houston, Houston, USA";Y;N;(1) We plan to integrate model checkers and compositional verification tools into our framework to enable the verification of security and safety properties.;Blind auction (example, not use case);N;Y;N; 
41;Automated Execution of Financial Contracts on Blockchains;0;Egelund-Müller, Benjaminand Elsman, Martinand Henglein, Fritzand Ross, Omri;"The paper investigates financial contract management on distributed ledgers and provides a working solution implemented on the Ethereum blockchain. The system is based on a domain-specific language for financial contracts that is capable of expressing complex multi-party derivatives and is conducive to automated execution. The authors propose an architecture for separating contractual terms from contract execution: a contract evaluator encapsulates the syntax and semantics of financial contracts without actively performing contractual actions; such actions are handled by user-definable contract managers that administer strategies for the execution of contracts. Hosting contracts and contract managers on a distributed ledger, side-by-side with digital assets, facilitates automated settlement of commitments without the need for an intermediary. The paper discusses how the proposed technology may change the way financial institutions, regulators, and individuals interact in a financial system based on distributed ledgers.";ACCEPTED;ACCEPTED;HIGH;3;2017;Business & Information Systems Engineering;"Blockchain; Domain specific language; Financial services; Distributed ledger ";Journal Paper;"The system is based on a domain-specific language for financial contracts that is capable of expressing complex multi-party derivatives and is conducive to automated execution.

Proposes a DSL for financial contracts.

Check reference: Bahr P, Berthold J, Elsman M (2015) Certified symbolic management of financial multi-party contracts. In: Proceedings of the 20th ACM SIGPLAN international conference on functional programming, ACM. pp 315–327";https://doi.org/10.1007/s12599-017-0507-z;59;457--467;10.1007/s12599-017-0507-z;1867-0202;07/17/2018;;N;N;N;N;N;Y;N;N;N;;null;Y;N;N;N;Y;N;null;N;Y;Financial Contract;Department of Computer Science, University of Copenhagen,;Y;N;"(1) First, the current implementation still has a rich roadmap, including the development of a varied sample portfolio with an accompanying test suite, implementation of a proper contract language parser (it currently requires users to input the abstract syntax tree of a contract), improvements in the handling and communication of errors,
verification of the implementation, and if it is to ever leave
the comforts of a test-net, significant performance tuning.

(2) Second, the architecture presented in Sect. 3, upon which the implementation is based, is an obvious candidate for further refinements. Amongst possible pursuits is an investigation into a push-based model for feeds (which would guarantee proper timestamping of events), models for how to transfer a party’s rights and obligations for a contract to a third party (e.g., by inferring which parties
would be affected by the transfer and only require these parties’ approval), a way to easily reverse contract evaluation as well as actions induced by it (e.g., for reversing transfers caused by corrupted feeds), and the implementation of prototypes on other ledgers than Ethereum, which could prove or disprove the general applicability of the
model.

(3) Third, the architecture presented in this paper places all the central pieces on the ledger. However, we do not discount the possibility that better models exist. We view two other models particularly as worthy of investigation. The first is a certificate approach in which contracts are stored, evaluated, and settled off-ledger and consistency is ensured through certificates that are verified through the ledger. The second is a compile-to-specialized approach in which contract, evaluator and manager are compiled off-ledger to a specialized and high-performance smart contract, which
is then launched on the ledger. This could be done by verified software that is regulated and guaranteed by authorities.

(3) Fourth, a different kind of pursuit would be to investigate new kinds of contract managers and the extent to which they can automatically do tasks that are currently manually or centrally maintained.

(4) from a legal standpoint, the ideas presented in this paper would require a robust legal framework that clearly explains both the legal meaning of the contract language constructors and reduction rules, as well as the legal concessions granted to any given contract manager

(5) Finally, we want to mention the opportunities that arise
from placing an entire financial system on a single ledger.

Extensive analysis of legal implications.";"Examples (not use cases)
(1) FX American option contract
(2) FX up-and-in barrier option contract
(3) Credit default swap contract
(4) Replacing a previous contract with a new one";N;Y;N; 
63;Recent Developments in Blockchain;0;Dhillon, Vikramand Metcalf, Davidand Hooper, Max;"In this chapter, we focus on three new technologies that have significantly advanced our understanding of
blockchain-enabled applications and opened up several new avenues for research. We begin our discussion
with EOS, an Ethereum competitor built with an OS inspired architecture and platform-support design
philosophy. It uses a new consensus mechanism called delegated proof-of-stake to enable rapid transaction
verification and a continuous cycle of voting for delegates that support the network. The message passing
protocols implemented in EOS are very advanced, allowing automated response handlers and action
triggers on message delivery. They make up most of the smart contract system. There is also support for
parallel lockless execution of smart contract instructions across the network, massively reducing latency in
communication and state updates.
The second technology we present is a contract-oriented programming language called Chain-core. On
the Chain network, all value is concentrated within assets that can be issued and controlled by users. Chain
provides developers with a very powerful API to manage and transfer assets in the blockchain. In a similar
regard to Aragon, Chain provides a visual interface to manage assets on a blockchain. We do a walkthrough
of Chain’s graphical interface, covering all the basic features available for asset management. Chain recently
announced a new development language to simplify the work of writing contracts for assets called Ivy
Playground, and we end the section by talking about the new updates in Ivy.
The final technology that we talk about is Quorum, an enterprise-grade fork of Ethereum built by
the Ethereum Enterprise Alliance (EEA) to handle high-volume requirements of businesses using the
blockchain. It features numerous upgrades, such as a public–private split on the blockchain (to allow
completely private transactions), private smart contracts, and the QuorumChain consensus mechanism.
In addition, zero-knowledge proofs will be coming to Quorum in the near future. We end this section with
an overview of Quorum given by JPMorgan and EEA.";ACCEPTED;ACCEPTED;LOW;6;2017;Blockchain Enabled Applications: Understand the Blockchain Ecosystem and How to Make it Work for You;;Book Chapter;"The second technology we present is a contract-oriented programming language called Chain-core. 

Part of the chapter is focused on a contract-oriented programming language";https://doi.org/10.1007/978-1-4842-3081-7_11;;151--181;10.1007/978-1-4842-3081-7_11;978-1-4842-3081-7;07/17/2018;;N;N;N;N;N;Y;N;N;N;;Chain Core;Y;N;N;N;Y;N;Chain;Y;N;Security,safety;Chain;N;Y;null;null;Y;N;N; 
73;eContractual choreography-language properties towards cross-organizational business collaboration;0;Norta, Alexand Ma, Lixinand Duan, Yucongand Rull, Addiand K{\~o}lvart, Meritand Taveter, Kuldar;Meaningfully automating sociotechnical business collaboration promises efficiency-, effectiveness-, and quality increases for realizing next-generation decentralized autonomous organizations. For automating business-process aware cross-organizational operations, the development of existing choreography languages is technology driven and focuses less on sociotechnical suitability and expressiveness concepts and properties that recognize the interaction between people in organizations and technology in workplaces. This gap our suitability- and expressiveness exploration fills by means of a cross-organizational collaboration ontology that we map as a proof-of-concept evaluation to the eSourcing Markup Language (eSML). The latter we test in a feasibility case study to meaningfully support the automation of business collaboration. The developed eSourcing ontology and eSML is replicable for exploring strengths and weaknesses of other choreography languages.;ACCEPTED;ACCEPTED;HIGH;14;2015;Journal of Internet Services and Applications;"Smart contracting
Choreography
eSourcing
Suitability
Expressiveness
Cross-organizational
B2B
Business process
Sociotechnical
Decentralized autonomous organization";Journal Paper;"It defines the eSourcing Markup Languge (eSML)
";https://doi.org/10.1186/s13174-015-0023-7;6;8;10.1186/s13174-015-0023-7;1869-0238;07/17/2018;;N;N;N;N;N;Y;N;N;N;;eSourcing Markup Language (eSML);Y;N;N;N;Y;N;"n/a
It is not executed on any blockchain.";Y;N;business process collaboration;Tallinn University of Technology, Akadeemia Tee 15A, 12618 Tallinn, Estonia;Y;N;"(1) we plan to further enhance the eSourcing ontology with law researchers towards providing a mature ontology for advancing smart-contracting.
(2) we plan to carry out more case studies with eSML in research projects about designing cyberphysical systems with smart-object orchestration
(3) an important extension for the eSourcing ontology and eSML is an adoption of concepts and properties to cater for adopting advanced security assurance measures that are relevant for open cyber-physical systems collaborations
(4) open research issue is the safeguarding of business collaborations with transactionality concepts that need to go further than traditional
transactions from the database-and workflow domains, i.e.,pertaining to blockchain-related variants such as sidechains,treechains,minichains,and so on.Thus, future work will explore such electronic business transactions with the objective of understanding how to extend eSMLfor ensuring a safeguarding of cyber-physical system collaborations,preferably by using blockchain technology";"business case from the automobile industry. 
";N;Y;N; 
105;Distributed Electronic Rights in JavaScript;0;Miller, Mark S.and Van Cutsem, Tomand Tulloh, Bill;Contracts enable mutually suspicious parties to cooperate safely through the exchange of rights. Smart contracts are programs whose behavior enforces the terms of the contract. This paper shows how such contracts can be specified elegantly and executed safely, given an appropriate distributed, secure, persistent, and ubiquitous computational fabric. JavaScript provides the ubiquity but must be significantly extended to deal with the other aspects. The first part of this paper is a progress report on our efforts to turn JavaScript into this fabric. To demonstrate the suitability of this design, we describe an escrow exchange contract implemented in 42 lines of JavaScript code.;ACCEPTED;ACCEPTED;LOW;3;2013;"European Symposium on Programming
ESOP 2013: Programming Languages and Systems ";"security; distributed objects; object-capabilities; smart contracts ";Conference paper;"It is not a smart-contract language itself, but a Javascript extension to implement smart contracts.

- Dr. SES is a platform for distributed, resilient, and secure computing, layered on JavaScript.
- Dr. SES builds on the Q library to extend the JavaScript ";https://link.springer.com/chapter/10.1007/978-3-642-37036-6_1;7792;1--20;https://doi.org/10.1007/978-3-642-37036-6_1;978-3-642-37036-6;07/17/2018;;N;N;N;N;N;Y;N;N;N;;Dr. SES;Y;N;N;N;N;Y;null;N;Y;Security;Google Inc.;N;Y;null;"* Escrow Exchange Contract
";Y;N;N; 
2231;Writing Safe Smart Contracts in Flint;4;Schrans, Franklin and Eisenbach, Susan and Drossopoulou, Sophia;Blockchain-based platforms such as Ethereum support the execution of versatile decentralized applications, known as smart contracts. These typically hold and transfer digital currency (e.g., Ether) to other parties on the platform. Contracts have been subject to numerous attacks, losing hundreds of millions of dollars (in Ether). We propose Flint, a new type-safe, capabilities-secure, contract-oriented programming language specifically designed for writing robust smart contracts. To help programmers reason about access control of functions, Flint programmers use caller capabilities. To prevent vulnerabilities relating to the unintentional loss of currency, transfers of assets in Flint are performed through safe atomic operations, inspired by linear type theory.;ACCEPTED;ACCEPTED;LOW;9;2018;Conference Companion of the 2nd International Conference on Art, Science, and Engineering of Programming;Ethereum, Programming Language, Smart Contracts;Conference paper;Languagel reference: https://docs.flintlang.org/;http://doi.acm.org/10.1145/3191697.3213790;;218--219;10.1145/3191697.3213790;978-1-4503-5513-1;07/19/2018;;N;N;N;N;N;Y;N;N;N;;Flint;Y;N;N;N;Y;N;Ethereum;Y;N;Security;Imperial College London;Y;N;null;FlightManager contract (example);Y;N;N; 
2248;Hawk: The Blockchain Model of Cryptography and Privacy-Preserving Smart Contracts;5;A. Kosba and A. Miller and E. Shi and Z. Wen and C. Papamanthou;Emerging smart contract systems over decentralized cryptocurrencies allow mutually distrustful parties to transact safely without trusted third parties. In the event of contractual breaches or aborts, the decentralized blockchain ensures that honest parties obtain commensurate compensation. Existing systems, however, lack transactional privacy. All transactions, including flow of money between pseudonyms and amount transacted, are exposed on the blockchain. We present Hawk, a decentralized smart contract system that does not store financial transactions in the clear on the blockchain, thus retaining transactional privacy from the public's view. A Hawk programmer can write a private smart contract in an intuitive manner without having to implement cryptography, and our compiler automatically generates an efficient cryptographic protocol where contractual parties interact with the blockchain, using cryptographic primitives such as zero-knowledge proofs. To formally define and reason about the security of our protocols, we are the first to formalize the blockchain model of cryptography. The formal modeling is of independent interest. We advocate the community to adopt such a formal model when designing applications atop decentralized blockchains.;ACCEPTED;ACCEPTED;HIGH;18;2016;2016 IEEE Symposium on Security and Privacy (SP);"contracts;cryptographic protocols;data privacy;electronic money;program compilers;transaction processing;trusted computing;Hawk programmer;aborts;automatic cryptographic protocol generation;blockchain model;compiler;contractual breach;decentralized blockchain;decentralized cryptocurrencies;decentralized smart contract system;financial transactions;formal modeling;honest parties;money flow;mutually distrustful parties;privacy-preserving smart contracts;transactional privacy;zero-knowledge proofs;Contracts;Cryptographic protocols;Cryptography;Online banking;Privacy";Conference Paper;"It proposes Hawk, a framework, but also has a compiler. The aim is to avoid users to be worried about cryptography, so the compiler generates a cryphtographic protocol

 A Hawk programmer can write a private smart contract in an intuitive manner without having to implement cryptography, and our compiler automatically generates an efficient cryptographic protocol where contractual parties interact with the blockchain, using cryptographic primitives such as zero-knowledge proofs.";;;839-858;10.1109/SP.2016.55;2375-1207;07/19/2018;;N;N;N;N;N;Y;N;N;N;;"Hawk	";Y;N;N;N;Y;N;"Ethereum - Public contract (Serpent code)
C Compatible - Private contract ";N;Y;Privacy;University of Maryland and Cornell University;Y;N;null;"* Sealed Auction
* rock, paper, scissors
* crowdfunding application
* swap financial instrument";Y;N;N; 
2250;SPESC: A Specification Language for Smart Contracts;5;X. He and B. Qin and Y. Zhu and X. Chen and Y. Liu;The smart contract is an interdisciplinary concept that concerns business, finance, contract law and information technology. Designing and developing a smart contract may require the close cooperation of many experts coming from different fields. How to support such collaborative development is a challenging problem in blockchain-oriented software engineering. This paper proposes SPESC, a specification language for smart contracts, which can define the specification of a smart contract for the purpose of collaborative design. SPESC can specify a smart contract in a similar form to real-world contracts using a natural-language-like grammar, in which the obligations and rights of parties and the transaction rules of cryptocurrencies are clearly defined. The preliminary study results demonstrated that SPESC can be easily learned and understood by both IT and non-IT users and thus has greater potential to facilitate collaborative smart contract development.;ACCEPTED;ACCEPTED;VERY_HIGH;38;2018;2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC);"Collaboration;Contract law;Contracts;Cryptography;Software;Syntactics;blockchain;smart contract;specification language";Conference Paper;"- SPESC is to establish an abstraction layer atop concrete implementations of smart contracts to facilitate the collaboration among experts from different domains
-  Purchase contract to illustrate SPESC";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377649;01;132-137;10.1109/COMPSAC.2018.00025;0730-3157;07/19/2018;;N;N;N;N;N;Y;N;N;N;;SPECS;Y;N;N;N;N;Y;n/a;Y;N;Smart Contract Collaborative Development;University of Science and Technology Beijing / Fuzhou University / National Computer Network Emergency Response Technical Team;Y;N;"* this study mainly suffers from a threat to external validity that the participants and the smart contracts used in
this study may not represent real practitioners and smart
contract systems. In the future, we will repeat this study in
a real industrial context. 
* enhance the expressive power and the grammar of SPESC. 
* develop a code generator and build a complete development environment
to facilitate smart contract development. 
* More case studies will be conducted to evaluate the expressive power, userfriendliness, learnability and understandability of SPESC, and the extent to which SPESC contributes to interdisciplinary cooperation in an industrial context";"* Lending 
* Voting
(Two use cases given to users of different types).";N;Y;N; 
